# Named widgets from Kenshi's shipped MyGUI layouts, one per line.
# Captured verbatim from data/gui/layout/*.layout in the pinned
# install; the game's own enumeration of its GUI. Not hand-authored.
#
# SCOPE: base Kenshi only. Mods add windows that exist in no layout
# file - RE_Kenshi contributes DebugWindow, GameSpeedTutorialWindow
# and BugReportWindow, observed live and absent here. Widgets built
# in code rather than loaded from a layout are also outside it; all
# 45 such controls observed so far were anonymous rendered text and
# none were actionable.
layout	widget	type
Kenshi_CharacterNamePanel.layout	LightLevelImage	ImageBox
Kenshi_CharacterSelectionBox.layout	Root	Widget
Kenshi_CharacterSelectionBox.layout	Portrait	ImageBox
Kenshi_CharacterSelectionBox.layout	NameTextBox	TextBox
Kenshi_CharacterSelectionBox.layout	StatsTextBox	Widget
Kenshi_CharacterSelectionBox.layout	DataPanel1	Widget
Kenshi_CharacterSelectionBox.layout	DataPanel2	Widget
Kenshi_CharacterSelectionBox.layout	CheckBox	Button
Kenshi_CharacterSelectionBox.layout	PriceTextBox	TextBox
Kenshi_CharacterSelectionWindow.layout	Root	Widget
Kenshi_CharacterSelectionWindow.layout	TradePanel	Widget
Kenshi_CharacterSelectionWindow.layout	CharacterSelectionItemBox	ScrollView
Kenshi_CharacterSelectionWindow.layout	ConfirmButton	Button
Kenshi_CharacterSelectionWindow.layout	CancelButton	Button
Kenshi_CharacterSelectionWindow.layout	CaptionTextBox	TextBox
Kenshi_CharacterSelectionWindow.layout	lbTotalMoney	TextBox
Kenshi_CharacterSelectionWindow.layout	MoneyAmountTextBox	TextBox
Kenshi_CharacterSelectionWindow.layout	SelectedTotalTextBox	TextBox
Kenshi_CharacterSelectionWindow.layout	lbBuyersMoney	TextBox
Kenshi_CharacterSelectionWindow.layout	TotalMoneyBuyer	TextBox
Kenshi_ContextMenu.layout	Root	Widget
Kenshi_ContextMenu.layout	NameText	TextBox
Kenshi_ContextMenu.layout	OptionsList	Widget
Kenshi_ContextMenu.layout	Option	Widget
Kenshi_ContextMenu.layout	Button	Button
Kenshi_ContextMenu.layout	Value	TextBox
Kenshi_ConversationPanel.layout	Root	Widget
Kenshi_ConversationPanel.layout	ConnectBarBig1	Widget
Kenshi_ConversationPanel.layout	ConnectBarBig2	Widget
Kenshi_ConversationPanel.layout	PlayerPanel	Widget
Kenshi_ConversationPanel.layout	PlayerPortrait	ImageBox
Kenshi_ConversationPanel.layout	PlayerName	TextBox
Kenshi_ConversationPanel.layout	PlayerDialog	ScrollView
Kenshi_ConversationPanel.layout	MoneyLabelText	TextBox
Kenshi_ConversationPanel.layout	MoneyAmountText	TextBox
Kenshi_ConversationPanel.layout	NpcPanel	Widget
Kenshi_ConversationPanel.layout	NpcName	TextBox
Kenshi_ConversationPanel.layout	NpcPortrait	ImageBox
Kenshi_ConversationPanel.layout	NpcDialog	EditBox
Kenshi_EffectsPanel.layout	Root	Window
Kenshi_EffectsPanel.layout	EffectsListCombo	ComboBox
Kenshi_EffectsPanel.layout	AddEffectButton	Button
Kenshi_EffectsPanel.layout	UpdateEffectsListButton	Button
Kenshi_EffectsPanel.layout	ActiveEffectsList	ListBox
Kenshi_EffectsPanel.layout	StartEffectButton	Button
Kenshi_EffectsPanel.layout	StopEffectButton	Button
Kenshi_EffectsPanel.layout	RestartEffectButton	Button
Kenshi_EffectsPanel.layout	MoveEffectButton	Button
Kenshi_EffectsPanel.layout	UpdateEffectButton	Button
Kenshi_EffectsPanel.layout	RemoveEffectButton	Button
Kenshi_EffectsPanel.layout	UpdateAllEffectsButton	Button
Kenshi_EffectsPanel.layout	RemoveAllEffectsButton	Button
Kenshi_EffectsPanel.layout	VolumeTypesCombo	ComboBox
Kenshi_EffectsPanel.layout	ActiveVolumesList	ListBox
Kenshi_EffectsPanel.layout	AddVolumeButton	Button
Kenshi_EffectsPanel.layout	RemoveVolumeButton	Button
Kenshi_EffectsPanel.layout	VolumeControlPanel	Widget
Kenshi_EffectsPanel.layout	VolumePositionButton	Button
Kenshi_EffectsPanel.layout	VolumePosition2Button	Button
Kenshi_EffectsPanel.layout	PositionVolumeText	TextBox
Kenshi_EffectsPanel.layout	Position2VolumeText	TextBox
